country,fips,city,source,2005,2006,2007,2008,2009,2010,2011,2012
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,0,0,0,0,0,0,0,0
,,,,,,,,,,,
